559,32,744,29,745,61,560,64
853,32,932,32,932,61,853,61
478,35,557,35,557,61,478,61
938,35,1023,35,1023,64,938,64
149,55,225,55,225,82,149,82
228,55,332,58,331,86,227,83
519,76,700,76,700,105,519,105
818,76,941,76,941,102,818,102
944,76,1058,76,1058,105,944,105
84,146,410,169,403,265,77,241
460,190,574,190,574,219,460,219
803,190,917,190,917,219,803,219
223,305,415,297,418,363,226,370
79,328,167,328,167,375,79,375
460,331,612,331,612,360,460,360
803,331,1000,331,1000,360,803,360
64,410,419,410,419,501,64,501
460,445,548,445,548,472,460,472
800,445,900,445,900,475,800,475
60,585,412,531,423,600,71,655
459,586,604,580,605,610,460,616
803,583,953,583,953,610,803,610
112,681,429,764,403,862,86,779
800,762,897,762,897,788,800,788
460,765,527,765,527,788,460,788
53,979,348,914,368,1005,73,1069
803,970,906,970,906,997,803,997
460,973,536,973,536,1003,460,1003
249,1108,413,1108,413,1155,249,1155
61,1108,219,1108,219,1161,61,1161
459,1123,624,1119,625,1150,460,1154
800,1123,964,1119,965,1150,800,1154
79,1199,410,1199,410,1316,79,1316
460,1249,557,1249,557,1275,460,1275
803,1249,944,1249,944,1275,803,1275
94,1352,429,1390,413,1532,78,1495
460,1434,522,1434,522,1466,460,1466
803,1434,891,1434,891,1460,803,1460
86,1540,397,1656,373,1719,62,1602
460,1642,583,1642,583,1674,460,1674
803,1642,970,1642,970,1668,803,1668
38,1809,175,1809,175,1847,38,1847
184,1809,249,1809,249,1841,184,1841
255,1809,431,1809,431,1841,255,1841
